valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,type_local,total_surface_lots
354690.0,23.0,1.0,75018.0,Appartement,0.0
354690.0,23.0,1.0,75018.0,Appartement,0.0
390000.0,33.0,2.0,75019.0,Appartement,36.68
776000.0,80.0,3.0,75018.0,Appartement,81.31
715000.0,58.0,2.0,75017.0,Appartement,58.19
926950.0,88.0,4.0,75018.0,Appartement,88.6
350000.0,37.0,2.0,75018.0,Appartement,37.74
400000.0,36.0,3.0,75018.0,Appartement,40.24
569885.0,53.0,2.0,75018.0,Appartement,53.72
911200.0,75.0,3.0,75008.0,Appartement,71.85
273500.0,27.0,2.0,75018.0,Appartement,26.5
710000.0,78.0,4.0,75019.0,Appartement,80.95
150000.0,19.0,0.0,75018.0,Appartement,19.88
188000.0,19.0,1.0,75020.0,Appartement,19.76
300750.0,28.0,2.0,75009.0,Appartement,28.24
194500.0,18.0,1.0,75019.0,Appartement,18.86
130000.0,8.0,1.0,75010.0,Appartement,7.0
165000.0,19.0,1.0,75010.0,Appartement,18.25
178600.0,22.0,1.0,75018.0,Appartement,22.76
328545.1,35.0,2.0,75020.0,Appartement,35.27
205000.0,17.0,1.0,75010.0,Appartement,17.9
384000.0,38.0,1.0,75018.0,Appartement,38.53
317000.0,30.0,1.0,75019.0,Appartement,30.06
916030.0,122.0,4.0,75020.0,Appartement,128.0
495000.0,44.0,3.0,75009.0,Appartement,44.91
800000.0,67.0,2.0,75004.0,Appartement,64.31
557400.0,39.0,2.0,75017.0,Appartement,43.7
169000.0,10.0,1.0,75010.0,Appartement,10.93
359000.0,32.0,1.0,75020.0,Appartement,29.51
220000.0,25.0,2.0,75008.0,Appartement,24.01
172000.0,18.0,1.0,75019.0,Appartement,16.78
420000.0,53.0,0.0,75018.0,Local industriel. commercial ou assimilé,29.2
420000.0,27.0,2.0,75018.0,Appartement,1.1
322550.0,34.0,2.0,75018.0,Appartement,36.04
732200.0,73.0,3.0,75019.0,Appartement,72.2
695000.0,55.0,3.0,75020.0,Appartement,79.96
365000.0,61.0,3.0,75010.0,Appartement,42.33
737300.0,77.0,3.0,75018.0,Appartement,77.6
305000.0,31.0,2.0,75018.0,Appartement,33.05
341000.0,36.0,1.0,75018.0,Appartement,35.24
375000.0,32.0,1.0,75003.0,Appartement,32.35
320700.0,30.0,1.0,75009.0,Appartement,29.13
382000.0,32.0,2.0,75018.0,Appartement,30.91
583040.0,75.0,3.0,75020.0,Appartement,72.27
430000.0,35.0,2.0,75009.0,Appartement,35.04
934850.0,73.0,3.0,75017.0,Appartement,137.68
357000.0,48.0,2.0,75020.0,Appartement,48.03
600000.0,88.0,4.0,75020.0,Appartement,81.72
553000.0,59.0,3.0,75017.0,Appartement,58.27
480000.0,51.0,3.0,75019.0,Appartement,60.0
512000.0,47.0,3.0,75018.0,Appartement,47.75
587000.0,45.0,2.0,75018.0,Appartement,50.8
120000.0,18.0,1.0,75020.0,Appartement,14.93
609000.0,58.0,3.0,75003.0,Appartement,52.77
385000.0,39.0,2.0,75020.0,Appartement,40.15
245000.0,28.0,2.0,75020.0,Appartement,0.0
406150.0,30.0,2.0,75018.0,Appartement,33.11
395000.0,45.0,3.0,75020.0,Appartement,44.18
399000.0,45.0,3.0,75018.0,Appartement,43.87
559232.4,21.0,0.0,75010.0,Local industriel. commercial ou assimilé,21.01
610000.0,62.0,3.0,75019.0,Appartement,61.98
272800.0,31.0,2.0,75018.0,Appartement,31.8
220000.0,24.0,1.0,75020.0,Appartement,23.77
236000.0,24.0,2.0,75010.0,Appartement,24.85
871200.0,68.0,4.0,75009.0,Appartement,71.27
175000.0,13.0,1.0,75017.0,Appartement,12.56
727780.0,59.0,3.0,75017.0,Appartement,59.57
1125090.0,111.0,4.0,75018.0,Appartement,222.38
395000.0,84.0,4.0,75020.0,Appartement,37.05
512500.0,38.0,2.0,75003.0,Appartement,36.03
250000.0,30.0,2.0,75020.0,Appartement,26.25
267500.0,32.0,1.0,75019.0,Appartement,31.94
962680.0,90.0,4.0,75017.0,Appartement,90.0
302400.0,26.0,1.0,75002.0,Appartement,23.5
495000.0,42.0,3.0,75017.0,Appartement,47.73
667200.0,48.0,2.0,75003.0,Appartement,49.67
1140000.0,104.0,4.0,75017.0,Appartement,105.76
525000.0,47.0,3.0,75017.0,Appartement,46.3
110000.0,13.0,1.0,75019.0,Appartement,12.05
360000.0,35.0,2.0,75018.0,Appartement,47.87
433100.0,43.0,1.0,75020.0,Appartement,45.23
318000.0,26.0,2.0,75010.0,Appartement,28.87
215000.0,26.0,2.0,75020.0,Appartement,26.55
172500.0,16.0,1.0,75019.0,Appartement,16.52
451000.0,39.0,1.0,75018.0,Appartement,37.55
360000.0,36.0,2.0,75019.0,Appartement,38.37
267000.0,22.0,1.0,75009.0,Appartement,24.48
430000.0,47.0,2.0,75020.0,Appartement,54.97
220000.0,25.0,2.0,75017.0,Appartement,23.66
235400.0,30.0,2.0,75018.0,Appartement,30.51
144450.0,18.0,2.0,75019.0,Appartement,17.81
330800.0,31.0,2.0,75017.0,Appartement,33.29
419500.0,45.0,2.0,75020.0,Appartement,45.05
310000.0,32.0,2.0,75018.0,Appartement,31.23
694070.0,57.0,3.0,75009.0,Appartement,58.75
133500.0,12.0,1.0,75010.0,Appartement,12.6
317308.0,55.0,3.0,75019.0,Appartement,57.34
104530.0,12.0,1.0,75008.0,Appartement,0.0
482840.0,45.0,2.0,75010.0,Appartement,45.61
495000.0,42.0,2.0,75017.0,Appartement,42.1
285700.0,31.0,1.0,75010.0,Appartement,31.39
522000.0,61.0,3.0,75020.0,Appartement,61.34
196400.0,21.0,1.0,75010.0,Appartement,18.82
387450.0,46.0,2.0,75020.0,Appartement,44.65
554750.0,41.0,3.0,75018.0,Appartement,45.51
207000.0,26.0,2.0,75017.0,Appartement,19.07
556600.0,67.0,3.0,75017.0,Appartement,66.99
299000.0,34.0,2.0,75018.0,Appartement,33.36
618000.0,42.0,3.0,75003.0,Appartement,0.0
300000.0,20.0,1.0,75017.0,Appartement,28.17
